"","Package","LibPath","Version","Priority","Built"
"clisymbols","clisymbols","/Users/mm06652/Library/R/3.5/library","1.2.0",NA,"3.5.0"
"cowplot","cowplot","/Users/mm06652/Library/R/3.5/library","0.9.3",NA,"3.5.0"
"desc","desc","/Users/mm06652/Library/R/3.5/library","1.2.0",NA,"3.5.0"
"enc","enc","/Users/mm06652/Library/R/3.5/library","0.2.0",NA,"3.5.0"
"fs","fs","/Users/mm06652/Library/R/3.5/library","1.2.5",NA,"3.5.0"
"gh","gh","/Users/mm06652/Library/R/3.5/library","1.0.1",NA,"3.5.0"
"git2r","git2r","/Users/mm06652/Library/R/3.5/library","0.23.0",NA,"3.5.0"
"ini","ini","/Users/mm06652/Library/R/3.5/library","0.3.1",NA,"3.5.0"
"rematch2","rematch2","/Users/mm06652/Library/R/3.5/library","2.0.1",NA,"3.5.0"
"styler","styler","/Users/mm06652/Library/R/3.5/library","1.0.2",NA,"3.5.0"
"usethis","usethis","/Users/mm06652/Library/R/3.5/library","1.3.0",NA,"3.5.0"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.0",NA,"3.5.0"
"babynames","babynames","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.0",NA,"3.5.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.2",NA,"3.5.0"
"base","base","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.0","base","3.5.0"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-3",NA,"3.5.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.66.0-1",NA,"3.5.0"
"bindr","bindr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.1",NA,"3.5.0"
"bindrcpp","bindrcpp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.2",NA,"3.5.0"
"bit","bit","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-14",NA,"3.5.0"
"bit64","bit64","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-7",NA,"3.5.0"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-6",NA,"3.5.0"
"blob","blob","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.1",NA,"3.5.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-20","recommended","3.5.0"
"broom","broom","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.4",NA,"3.5.0"
"callr","callr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.4",NA,"3.5.0"
"caTools","caTools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.17.1",NA,"3.5.0"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.0",NA,"3.5.0"
"class","class","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","7.3-14","recommended","3.5.0"
"cli","cli","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,"3.5.0"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.1",NA,"3.5.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.7-1","recommended","3.5.0"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-15","recommended","3.5.0"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-2",NA,"3.5.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.0","base","3.5.0"
"cowplot.1","cowplot","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.2",NA,"3.5.0"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.4",NA,"3.5.0"
"crosstalk","crosstalk","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,"3.5.0"
"curl","curl","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.2",NA,"3.5.0"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.11.4",NA,"3.5.0"
